REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Chile,2002,3.234585739,drought
Chile,2003,-0.119174225,drought
Chile,2003,-1.694601986,drought
Chile,2004,2.009641567,drought
Chile,2004,0.006150524,drought
Chile,2005,-0.492428538,drought
Chile,2005,-0.225211658,drought
Chile,2006,1.63595132,drought
Chile,2006,0.61652018,drought
Chile,2007,-0.759425457,drought
Chile,2007,-1.133371558,drought
Chile,2008,-3.212862259,drought
Chile,2008,-2.936553299,drought
Chile,2009,-0.15936665,drought
Chile,2009,-1.768590057,drought
Chile,2010,0.395216312,drought
Chile,2010,-0.487526167,drought
Chile,2011,-0.109723347,drought
Chile,2011,0.316966196,drought
Chile,2012,1.059378369,drought
Chile,2012,0.775493934,drought
Chile,2013,-1.891126422,drought
Chile,2013,-1.586275265,drought
Chile,2014,0.783837139,drought
Chile,2014,-0.871106805,drought
Chile,2015,-2.471797722,drought
Chile,2015,-0.945124489,drought
Chile,2016,-3.515129526,drought
Chile,2016,-1.958392802,drought
Chile,2017,2.664987917,drought
Chile,2017,3.663404788,drought
Chile,2018,1.685717089,drought
Chile,2018,0.066105739,drought
Chile,2019,-2.837411162,drought
Chile,2019,-2.809873334,drought
Chile,2020,-3.658030075,drought
Chile,2020,-3.161750722,drought
Colombia,2001,-0.8405267,drought
Colombia,2001,-2.175738072,drought
Colombia,2002,-1.222028322,drought
Colombia,2002,-2.758042094,drought
Colombia,2003,-0.959184961,drought
Colombia,2003,-1.940218742,drought
Colombia,2004,-1.466670967,drought
Colombia,2004,-2.342974546,drought
Colombia,2005,-0.049625332,drought
Colombia,2005,-0.371428461,drought
Colombia,2006,0.444647794,drought
Colombia,2006,0.544839735,drought
Colombia,2007,-1.644348229,drought
Colombia,2007,-1.132346613,drought
Colombia,2008,-0.183619941,drought
Colombia,2008,0.588508028,drought
Colombia,2009,0.034283272,drought
Colombia,2009,-0.041575963,drought
Colombia,2010,0.341674068,drought
Colombia,2010,1.626884298,drought
Colombia,2011,1.469922667,drought
Colombia,2011,3.370791351,drought
Colombia,2012,-0.211462021,drought
Colombia,2012,-0.272318307,drought
Colombia,2013,-0.610497988,drought
Colombia,2013,-0.782032688,drought
Colombia,2014,-1.344551508,drought
Colombia,2014,-2.954178608,drought
Colombia,2015,-1.611609771,drought
Colombia,2015,-4.358099146,drought
Colombia,2016,-1.747175295,drought
Colombia,2016,-3.03574628,drought
Colombia,2017,-1.269248964,drought
Colombia,2017,-2.6224542,drought
Colombia,2018,-2.228255031,drought
Colombia,2018,-4.185828349,drought
Colombia,2019,-3.311395473,drought
Colombia,2019,-6.804269478,drought
Colombia,2020,-3.653006458,drought
Colombia,2020,-5.459683451,drought
Costa Rica,2001,-1.168887658,drought
Costa Rica,2001,-1.82171696,drought
Costa Rica,2002,-1.313519481,drought
Costa Rica,2002,-1.460162166,drought
Costa Rica,2003,0.140209843,drought
Costa Rica,2003,0.508322827,drought
Costa Rica,2004,1.357125628,drought
Costa Rica,2004,1.007628487,drought
Costa Rica,2005,1.695929142,drought
Costa Rica,2005,1.665656715,drought
Costa Rica,2006,1.302104347,drought
Costa Rica,2006,1.165804448,drought
Costa Rica,2007,1.334987063,drought
Costa Rica,2007,1.550253436,drought
Costa Rica,2008,0.486906923,drought
Costa Rica,2008,1.097933598,drought
Costa Rica,2009,1.178550861,drought
Costa Rica,2009,0.855395999,drought
Costa Rica,2010,3.919629005,drought
Costa Rica,2010,3.631280257,drought
Costa Rica,2011,3.122255069,drought
Costa Rica,2011,3.444055834,drought
Costa Rica,2012,0.742437237,drought
Costa Rica,2012,0.923709053,drought
Costa Rica,2013,-0.086242942,drought
Costa Rica,2013,0.330129827,drought
Costa Rica,2014,-1.552556899,drought
Costa Rica,2014,-1.278864293,drought
Costa Rica,2015,-0.22301373,drought
Costa Rica,2015,-1.018594802,drought
Costa Rica,2016,0.194710441,drought
Costa Rica,2016,0.564992541,drought
Costa Rica,2017,1.437511479,drought
Costa Rica,2017,1.811204835,drought
Costa Rica,2018,0.436837259,drought
Costa Rica,2018,0.429869252,drought
Costa Rica,2019,-3.800911758,drought
Costa Rica,2019,-3.740424105,drought
Costa Rica,2020,-0.290202213,drought
Costa Rica,2020,0.336161267,drought
Czech Republic,2001,4.446577404,drought
Czech Republic,2001,4.99571932,drought
Czech Republic,2002,3.605060219,drought
Czech Republic,2002,3.7445201,drought
Czech Republic,2003,-9.727884104,drought
Czech Republic,2003,-10.09586857,drought
Czech Republic,2004,-1.520098837,drought
Czech Republic,2004,-1.838821654,drought
Czech Republic,2005,0.483670229,drought
Czech Republic,2005,0.84248333,drought
Czech Republic,2006,-2.660312461,drought
Czech Republic,2006,-2.43613483,drought
Czech Republic,2007,-1.614904468,drought
Czech Republic,2007,-1.926751247,drought
Czech Republic,2008,0.886440149,drought
Czech Republic,2008,0.784749866,drought
Czech Republic,2009,0.7626705,drought
Czech Republic,2009,0.697184664,drought
Czech Republic,2010,4.144902065,drought
Czech Republic,2010,5.074816374,drought
Czech Republic,2011,-2.283002026,drought
Czech Republic,2011,-2.54085649,drought
Czech Republic,2012,-2.115392571,drought
Czech Republic,2012,-2.282354732,drought
Czech Republic,2013,1.804596497,drought
Czech Republic,2013,2.278597738,drought
Czech Republic,2014,0.422448826,drought
Czech Republic,2014,0.193338187,drought
Czech Republic,2015,-6.230355373,drought
Czech Republic,2015,-6.466066674,drought
Czech Republic,2016,0.218525761,drought
Czech Republic,2016,-0.184921808,drought
Czech Republic,2017,-0.577042068,drought
Czech Republic,2017,-0.805942089,drought
Czech Republic,2018,-10.19561864,drought
Czech Republic,2018,-10.69444326,drought
Czech Republic,2019,-3.779593232,drought
Czech Republic,2019,-3.894401256,drought
Czech Republic,2020,0.268765533,drought
Czech Republic,2020,0.536670637,drought
Denmark,2001,5.121466021,drought
Denmark,2001,5.137620377,drought
Denmark,2002,0.28545227,drought
Denmark,2002,0.230578585,drought
Denmark,2003,-3.339875755,drought
Denmark,2003,-3.19868008,drought
Denmark,2004,2.748450746,drought
Denmark,2004,2.616170881,drought
Denmark,2005,-1.486267791,drought
Denmark,2005,-1.556968591,drought
Denmark,2006,1.373733723,drought
Denmark,2006,1.378140499,drought
Denmark,2007,3.559287077,drought
Denmark,2007,3.516484999,drought
Denmark,2008,-1.329487744,drought
Denmark,2008,-1.311295103,drought
Denmark,2009,-1.786888209,drought
Denmark,2009,-1.624006685,drought
Denmark,2010,1.724833021,drought
Denmark,2010,1.581391919,drought
Denmark,2011,2.451782689,drought
Denmark,2011,2.505672068,drought
Denmark,2012,3.406420101,drought
Denmark,2012,3.519807235,drought
Denmark,2013,-1.544057434,drought
Denmark,2013,-1.693403937,drought
Denmark,2014,-0.355930429,drought
Denmark,2014,-0.313746087,drought
Denmark,2015,5.820805778,drought
Denmark,2015,5.893258967,drought
Denmark,2016,0.490227996,drought
Denmark,2016,0.458278087,drought
Denmark,2017,7.800298747,drought
Denmark,2017,7.83599534,drought
Denmark,2018,-7.697761315,drought
Denmark,2018,-7.602767753,drought
Denmark,2019,2.387266628,drought
Denmark,2019,2.471267101,drought
Denmark,2020,-3.284598456,drought
Denmark,2020,-3.16938021,drought
Estonia,2001,1.668555455,drought
Estonia,2001,1.709360277,drought
Estonia,2002,-11.89375539,drought
Estonia,2002,-12.16271626,drought
Estonia,2003,0.825067687,drought
Estonia,2003,1.787666827,drought
Estonia,2004,2.459566529,drought
Estonia,2004,2.359239102,drought
Estonia,2005,-3.854190571,drought
Estonia,2005,-3.872986372,drought
Estonia,2006,-8.068842541,drought
Estonia,2006,-8.349336572,drought
Estonia,2007,-0.140988629,drought
Estonia,2007,-0.793381906,drought
Estonia,2008,3.065544335,drought
Estonia,2008,2.954030375,drought
Estonia,2009,1.75076062,drought
Estonia,2009,1.963647843,drought
Estonia,2010,-0.975108416,drought
Estonia,2010,-1.174489744,drought
Estonia,2011,-1.550320364,drought
Estonia,2011,-2.037005092,drought
Estonia,2012,4.991715763,drought
Estonia,2012,5.062272728,drought
Estonia,2013,-4.298142559,drought
Estonia,2013,-4.3967307,drought
Estonia,2014,-0.103117274,drought
Estonia,2014,0.16366461,drought
Estonia,2015,-0.328219982,drought
Estonia,2015,-0.183552654,drought
Estonia,2016,1.564464112,drought
Estonia,2016,2.000433063,drought
Estonia,2017,3.742682148,drought
Estonia,2017,3.906320817,drought
Estonia,2018,-7.478092945,drought
Estonia,2018,-7.815135518,drought
Estonia,2019,-3.13503406,drought
Estonia,2019,-3.621711639,drought
Estonia,2020,0.651677607,drought
Estonia,2020,0.716417802,drought
Finland,2001,0.099826081,drought
Finland,2001,0.31359376,drought
Finland,2002,-3.944797354,drought
Finland,2002,-6.845595899,drought
Finland,2003,-1.450228959,drought
Finland,2003,-1.735966232,drought
Finland,2004,3.018787912,drought
Finland,2004,3.002755416,drought
Finland,2005,0.4694615,drought
Finland,2005,0.276413727,drought
Finland,2006,-4.022950024,drought
Finland,2006,-5.405501765,drought
Finland,2007,2.620211911,drought
Finland,2007,2.45936665,drought
Finland,2008,2.666873629,drought
Finland,2008,2.945348169,drought
Finland,2009,-0.581496587,drought
Finland,2009,-0.709523192,drought
Finland,2010,-0.023436883,drought
Finland,2010,-0.686993549,drought
Finland,2011,1.438624047,drought
Finland,2011,1.0219978,drought
Finland,2012,2.286662221,drought
Finland,2012,3.201058887,drought
Finland,2013,-0.457978977,drought
Finland,2013,0.049245228,drought
Finland,2014,0.936386307,drought
Finland,2014,0.686873755,drought
Finland,2015,2.930959877,drought
